time_iso8601,stars_cumulative
2017-07-31 00:00:00+00:00,1
2017-08-03 00:00:00+00:00,2
2017-08-04 00:00:00+00:00,3
2017-08-17 00:00:00+00:00,4
2017-08-21 00:00:00+00:00,5
2017-09-01 00:00:00+00:00,6
2017-09-13 00:00:00+00:00,7
2017-09-15 00:00:00+00:00,8
2017-09-23 00:00:00+00:00,9
2017-09-25 00:00:00+00:00,12
2017-10-05 00:00:00+00:00,17
2017-10-07 00:00:00+00:00,20
2017-10-09 00:00:00+00:00,22
2017-10-11 00:00:00+00:00,23
2017-10-19 00:00:00+00:00,24
2017-10-23 00:00:00+00:00,25
2017-10-28 00:00:00+00:00,26
2017-10-30 00:00:00+00:00,27
2017-11-02 00:00:00+00:00,28
2017-11-03 00:00:00+00:00,30
2017-11-04 00:00:00+00:00,31
2017-11-08 00:00:00+00:00,32
2017-11-11 00:00:00+00:00,34
2017-11-17 00:00:00+00:00,35
2017-11-22 00:00:00+00:00,37
2017-11-23 00:00:00+00:00,38
2017-11-24 00:00:00+00:00,40
2017-11-26 00:00:00+00:00,41
2017-11-29 00:00:00+00:00,42
2017-12-02 00:00:00+00:00,44
2017-12-05 00:00:00+00:00,45
2017-12-06 00:00:00+00:00,46
2017-12-11 00:00:00+00:00,47
2017-12-12 00:00:00+00:00,48
2017-12-13 00:00:00+00:00,49
2017-12-20 00:00:00+00:00,50
2017-12-25 00:00:00+00:00,51
2017-12-30 00:00:00+00:00,52
2017-12-31 00:00:00+00:00,53
2018-01-02 00:00:00+00:00,54
2018-01-11 00:00:00+00:00,55
2018-01-13 00:00:00+00:00,56
2018-01-14 00:00:00+00:00,57
2018-01-16 00:00:00+00:00,60
2018-01-18 00:00:00+00:00,61
2018-01-19 00:00:00+00:00,62
2018-01-29 00:00:00+00:00,63
2018-02-02 00:00:00+00:00,64
2018-02-04 00:00:00+00:00,66
2018-02-05 00:00:00+00:00,67
2018-02-06 00:00:00+00:00,68
2018-02-08 00:00:00+00:00,69
2018-02-10 00:00:00+00:00,70
2018-02-12 00:00:00+00:00,71
2018-02-14 00:00:00+00:00,72
2018-02-15 00:00:00+00:00,73
2018-02-16 00:00:00+00:00,74
2018-02-21 00:00:00+00:00,75
2018-02-24 00:00:00+00:00,76
2018-02-27 00:00:00+00:00,77
2018-03-03 00:00:00+00:00,78
2018-03-06 00:00:00+00:00,79
2018-03-07 00:00:00+00:00,80
2018-03-11 00:00:00+00:00,81
2018-03-14 00:00:00+00:00,84
2018-03-15 00:00:00+00:00,92
2018-03-16 00:00:00+00:00,95
2018-03-17 00:00:00+00:00,97
2018-03-18 00:00:00+00:00,102
2018-03-19 00:00:00+00:00,105
2018-03-20 00:00:00+00:00,106
2018-03-23 00:00:00+00:00,107
2018-03-24 00:00:00+00:00,109
2018-03-25 00:00:00+00:00,111
2018-03-26 00:00:00+00:00,112
2018-03-27 00:00:00+00:00,113
2018-04-03 00:00:00+00:00,114
2018-04-04 00:00:00+00:00,115
2018-04-05 00:00:00+00:00,117
2018-04-06 00:00:00+00:00,118
2018-04-08 00:00:00+00:00,126
2018-04-09 00:00:00+00:00,127
2018-04-10 00:00:00+00:00,128
2018-04-12 00:00:00+00:00,129
2018-04-13 00:00:00+00:00,131
2018-04-14 00:00:00+00:00,133
2018-04-18 00:00:00+00:00,134
2018-04-20 00:00:00+00:00,135
2018-04-21 00:00:00+00:00,136
2018-04-22 00:00:00+00:00,138
