time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-14 00:00:00+00:00,5,3,103,30
2022-08-15 00:00:00+00:00,545,456,234,63
2022-08-16 00:00:00+00:00,181,78,197,72
2022-08-17 00:00:00+00:00,101,58,261,79
2022-08-18 00:00:00+00:00,62,40,240,66
2022-08-19 00:00:00+00:00,277,91,171,62
2022-08-20 00:00:00+00:00,173,78,249,77
2022-08-21 00:00:00+00:00,44,34,300,78
2022-08-22 00:00:00+00:00,4,3,242,88
2022-08-23 00:00:00+00:00,20,11,350,88
2022-08-24 00:00:00+00:00,14,9,550,106
2022-08-25 00:00:00+00:00,23,13,604,83
2022-08-26 00:00:00+00:00,14,4,449,77
2022-08-27 00:00:00+00:00,15,11,574,97
2022-08-28 00:00:00+00:00,74,42,371,80
2022-08-29 00:00:00+00:00,69,36,309,92
2022-08-30 00:00:00+00:00,21,16,327,67
2022-08-31 00:00:00+00:00,11,7,345,91
2022-09-01 00:00:00+00:00,1123,983,443,75
2022-09-02 00:00:00+00:00,4,4,369,75
2022-09-03 00:00:00+00:00,18,8,288,70
2022-09-04 00:00:00+00:00,62,31,274,52
2022-09-05 00:00:00+00:00,65,36,284,81
2022-09-06 00:00:00+00:00,1372,1022,349,94
2022-09-07 00:00:00+00:00,132,122,381,75
2022-09-08 00:00:00+00:00,540,483,691,104
2022-09-09 00:00:00+00:00,63,33,442,127
2022-09-10 00:00:00+00:00,380,308,306,102
2022-09-11 00:00:00+00:00,1856,1007,530,109
2022-09-12 00:00:00+00:00,10,6,330,94
2022-09-13 00:00:00+00:00,1154,885,314,90
2022-09-14 00:00:00+00:00,9,7,478,109
2022-09-15 00:00:00+00:00,12,8,500,99
2022-09-16 00:00:00+00:00,15,6,367,89
2022-09-17 00:00:00+00:00,13,7,333,73
2022-09-18 00:00:00+00:00,9,6,300,83
2022-09-19 00:00:00+00:00,302,254,472,112
