url_path,views_total,views_unique
/Cloudbox/Community/wiki,123,57
/Cloudbox/Community,98,63
/Cloudbox/Community/wiki/Trakt-Lists,44,26
/Cloudbox/Community/wiki/Install,34,20
/Cloudbox/Community/tree/master/roles,21,12
/Cloudbox/Community/wiki/Quality-Release-Groups,16,13
/Cloudbox/Community/wiki/Speed-up-Plex---Emby---Jellyfin,12,11
/Cloudbox/Community/wiki/eBooks:-Calibre-and-Calibre-web,11,7
/Cloudbox/Community/wiki/Organizr-Auth-for-Nginx-Proxy-Apps,11,5
/Cloudbox/Community/wiki/Remove-Apps,9,4
