time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-03 00:00:00+00:00,6.0,6.0,23,11
2022-10-04 00:00:00+00:00,,,32,16
2022-10-05 00:00:00+00:00,,,29,11
2022-10-06 00:00:00+00:00,1.0,1.0,40,12
2022-10-07 00:00:00+00:00,1.0,1.0,46,14
2022-10-08 00:00:00+00:00,2.0,1.0,30,9
2022-10-09 00:00:00+00:00,,,13,8
2022-10-10 00:00:00+00:00,2.0,2.0,56,19
2022-10-11 00:00:00+00:00,2.0,2.0,66,23
2022-10-12 00:00:00+00:00,272.0,4.0,87,13
2022-10-13 00:00:00+00:00,1.0,1.0,71,19
2022-10-14 00:00:00+00:00,2.0,2.0,19,11
2022-10-15 00:00:00+00:00,3.0,3.0,40,13
2022-10-16 00:00:00+00:00,1.0,1.0,63,13
