time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-14 00:00:00+00:00,0,0,16,7
2022-08-15 00:00:00+00:00,140,6,62,18
2022-08-16 00:00:00+00:00,1,1,37,10
2022-08-17 00:00:00+00:00,1,1,87,20
2022-08-18 00:00:00+00:00,0,0,30,11
2022-08-19 00:00:00+00:00,0,0,39,13
2022-08-20 00:00:00+00:00,2,2,38,13
2022-08-21 00:00:00+00:00,0,0,11,9
2022-08-22 00:00:00+00:00,0,0,63,18
2022-08-23 00:00:00+00:00,3,3,29,15
2022-08-24 00:00:00+00:00,1,1,96,23
2022-08-25 00:00:00+00:00,0,0,32,16
2022-08-26 00:00:00+00:00,1,1,26,14
2022-08-27 00:00:00+00:00,3,3,42,18
2022-08-28 00:00:00+00:00,1,1,36,13
2022-08-29 00:00:00+00:00,0,0,22,8
