time_iso8601,forks_cumulative
2018-02-04 00:00:00+00:00,1
2018-03-04 00:00:00+00:00,2
2018-03-18 00:00:00+00:00,3
2018-05-16 00:00:00+00:00,4
2018-07-03 00:00:00+00:00,5
2018-08-15 00:00:00+00:00,6
2018-10-10 00:00:00+00:00,7
2018-12-16 00:00:00+00:00,8
2019-01-04 00:00:00+00:00,9
2019-02-07 00:00:00+00:00,10
2019-04-18 00:00:00+00:00,11
2019-06-15 00:00:00+00:00,12
2019-09-15 00:00:00+00:00,13
2019-11-13 00:00:00+00:00,14
2019-11-14 00:00:00+00:00,15
2019-12-09 00:00:00+00:00,16
2020-03-23 00:00:00+00:00,17
2020-04-09 00:00:00+00:00,18
2020-05-06 00:00:00+00:00,19
2020-05-25 00:00:00+00:00,20
2020-06-11 00:00:00+00:00,21
2020-06-13 00:00:00+00:00,22
2020-08-12 00:00:00+00:00,23
2020-08-24 00:00:00+00:00,24
2020-10-02 00:00:00+00:00,25
2020-10-07 00:00:00+00:00,26
2020-10-21 00:00:00+00:00,27
2020-11-09 00:00:00+00:00,28
2021-02-04 00:00:00+00:00,29
2021-05-03 00:00:00+00:00,30
2021-08-10 00:00:00+00:00,31
2021-12-23 00:00:00+00:00,32
2022-04-11 00:00:00+00:00,33
2022-06-10 00:00:00+00:00,34
2022-07-03 00:00:00+00:00,35
2022-07-15 00:00:00+00:00,36
2022-08-18 00:00:00+00:00,37
