time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-21 00:00:00+00:00,2.0,1.0,6,2
2022-08-22 00:00:00+00:00,,,1,1
2022-08-23 00:00:00+00:00,,,1,1
2022-08-24 00:00:00+00:00,,,2,2
2022-08-25 00:00:00+00:00,,,1,1
2022-08-26 00:00:00+00:00,,,21,5
2022-08-27 00:00:00+00:00,,,10,8
2022-08-28 00:00:00+00:00,,,2,2
2022-08-29 00:00:00+00:00,,,6,6
2022-08-30 00:00:00+00:00,1.0,1.0,3,2
2022-09-01 00:00:00+00:00,,,1,1
2022-09-02 00:00:00+00:00,2.0,1.0,4,1
2022-09-03 00:00:00+00:00,,,5,3
