time_iso8601,stars_cumulative
2021-05-28 00:00:00+00:00,2
2021-06-26 00:00:00+00:00,3
2021-06-30 00:00:00+00:00,4
2021-07-09 00:00:00+00:00,5
2021-07-17 00:00:00+00:00,7
2021-07-18 00:00:00+00:00,8
2021-07-19 00:00:00+00:00,9
2021-07-23 00:00:00+00:00,10
2021-08-30 00:00:00+00:00,11
2021-09-03 00:00:00+00:00,12
2021-09-20 00:00:00+00:00,13
2021-09-21 00:00:00+00:00,14
2021-10-12 00:00:00+00:00,15
2021-11-24 00:00:00+00:00,17
2021-12-19 00:00:00+00:00,18
2021-12-20 00:00:00+00:00,19
2021-12-29 00:00:00+00:00,20
2022-01-05 00:00:00+00:00,21
2022-01-08 00:00:00+00:00,22
2022-01-09 00:00:00+00:00,23
2022-01-15 00:00:00+00:00,25
2022-01-16 00:00:00+00:00,26
2022-02-08 00:00:00+00:00,27
2022-03-04 00:00:00+00:00,28
2022-03-06 00:00:00+00:00,30
2022-03-15 00:00:00+00:00,31
2022-03-30 00:00:00+00:00,32
2022-04-01 00:00:00+00:00,33
2022-04-03 00:00:00+00:00,34
2022-04-26 00:00:00+00:00,35
2022-06-22 00:00:00+00:00,36
2022-09-11 00:00:00+00:00,38
2022-09-13 00:00:00+00:00,39
2022-09-26 00:00:00+00:00,40
2022-10-18 00:00:00+00:00,41
2022-11-22 00:00:00+00:00,42
2022-11-30 00:00:00+00:00,43
2022-12-27 00:00:00+00:00,44
2023-01-11 00:00:00+00:00,45
2023-01-23 00:00:00+00:00,46
2023-02-02 00:00:00+00:00,47
2023-03-14 00:00:00+00:00,48
2023-04-28 00:00:00+00:00,49
