url_path,views_total,views_unique
/saltyorg/Saltbox,257,113
/saltyorg/Saltbox/tree/master/roles,140,30
/saltyorg/Saltbox/commits/master,85,12
/saltyorg/Saltbox/tree/master/inventories,35,7
/saltyorg/Saltbox/tree/master/defaults,35,6
/saltyorg/Saltbox/tree/master/scripts,31,9
/saltyorg/Saltbox/blob/master/resources/tasks/docker/create_docker_container.yml,23,6
/saltyorg/Saltbox/tree/master/resources,23,6
/saltyorg/Saltbox/issues,19,13
/saltyorg/Saltbox/blob/master/inventories/group_vars/all.yml,16,5
