time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-22 00:00:00+00:00,566,4,48,9
2024-07-23 00:00:00+00:00,653,16,497,34
2024-07-24 00:00:00+00:00,7,6,241,18
2024-07-25 00:00:00+00:00,154,14,89,13
2024-07-26 00:00:00+00:00,75,6,107,53
2024-07-27 00:00:00+00:00,76,2,1439,22
2024-07-28 00:00:00+00:00,80,6,610,16
2024-07-29 00:00:00+00:00,16,16,167,16
2024-07-30 00:00:00+00:00,151,11,110,16
2024-07-31 00:00:00+00:00,218,6,236,14
2024-08-01 00:00:00+00:00,3,3,129,13
2024-08-02 00:00:00+00:00,300,13,96,15
2024-08-03 00:00:00+00:00,5,5,91,10
2024-08-04 00:00:00+00:00,509,13,231,19
