time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-14 00:00:00+00:00,126,123,7,1
2022-08-15 00:00:00+00:00,615,420,66,14
2022-08-16 00:00:00+00:00,102,9,54,20
2022-08-17 00:00:00+00:00,594,131,135,21
2022-08-18 00:00:00+00:00,112,17,35,15
2022-08-19 00:00:00+00:00,404,267,83,16
2022-08-20 00:00:00+00:00,280,9,48,18
2022-08-21 00:00:00+00:00,102,12,90,18
2022-08-22 00:00:00+00:00,375,13,113,23
2022-08-23 00:00:00+00:00,811,566,39,23
2022-08-24 00:00:00+00:00,75,72,102,35
2022-08-25 00:00:00+00:00,973,686,138,42
2022-08-26 00:00:00+00:00,100,11,85,22
2022-08-27 00:00:00+00:00,18,14,125,30
2022-08-28 00:00:00+00:00,233,137,168,21
2022-08-29 00:00:00+00:00,233,129,109,30
2022-08-30 00:00:00+00:00,6,5,85,22
2022-08-31 00:00:00+00:00,100,10,88,28
2022-09-01 00:00:00+00:00,14,13,41,23
2022-09-02 00:00:00+00:00,834,16,218,25
2022-09-03 00:00:00+00:00,377,260,152,23
2022-09-04 00:00:00+00:00,152,143,51,14
2022-09-05 00:00:00+00:00,223,127,104,16
2022-09-06 00:00:00+00:00,9,9,73,25
2022-09-07 00:00:00+00:00,158,5,84,16
2022-09-08 00:00:00+00:00,269,170,164,33
2022-09-09 00:00:00+00:00,191,181,90,26
2022-09-10 00:00:00+00:00,219,124,62,16
2022-09-11 00:00:00+00:00,101,12,51,14
2022-09-12 00:00:00+00:00,102,9,129,18
2022-09-13 00:00:00+00:00,10,9,22,12
2022-09-14 00:00:00+00:00,5,5,65,18
2022-09-15 00:00:00+00:00,104,13,94,13
2022-09-16 00:00:00+00:00,7,7,44,13
2022-09-17 00:00:00+00:00,133,131,78,12
2022-09-18 00:00:00+00:00,101,11,80,14
2022-09-19 00:00:00+00:00,111,16,38,15
2022-09-20 00:00:00+00:00,9,9,207,36
2022-09-21 00:00:00+00:00,7,7,106,28
2022-09-22 00:00:00+00:00,16,14,84,16
2022-09-23 00:00:00+00:00,12,9,8,7
2022-09-24 00:00:00+00:00,6,6,44,15
2022-09-25 00:00:00+00:00,15,12,58,13
2022-09-26 00:00:00+00:00,135,131,48,12
2022-09-27 00:00:00+00:00,528,253,74,11
2022-09-28 00:00:00+00:00,132,128,24,14
2022-09-29 00:00:00+00:00,270,237,118,16
2022-09-30 00:00:00+00:00,103,10,65,13
2022-10-01 00:00:00+00:00,284,12,101,21
2022-10-02 00:00:00+00:00,450,241,262,12
2022-10-03 00:00:00+00:00,331,141,89,15
2022-10-04 00:00:00+00:00,1114,562,116,21
2022-10-05 00:00:00+00:00,2332,988,242,11
2022-10-06 00:00:00+00:00,138,133,90,18
2022-10-07 00:00:00+00:00,245,11,156,16
2022-10-08 00:00:00+00:00,129,10,106,12
2022-10-09 00:00:00+00:00,9,8,21,7
2022-10-10 00:00:00+00:00,889,595,191,17
2022-10-11 00:00:00+00:00,13,9,100,22
2022-10-12 00:00:00+00:00,1277,565,259,20
2022-10-13 00:00:00+00:00,1305,935,109,21
2022-10-14 00:00:00+00:00,659,560,146,20
2022-10-15 00:00:00+00:00,537,421,76,17
2022-10-16 00:00:00+00:00,966,263,112,19
2022-10-17 00:00:00+00:00,580,14,209,29
2022-10-18 00:00:00+00:00,453,145,138,18
2022-10-19 00:00:00+00:00,927,563,96,21
2022-10-20 00:00:00+00:00,308,287,230,46
2022-10-21 00:00:00+00:00,70,9,47,15
2022-10-22 00:00:00+00:00,54,35,46,17
2022-10-23 00:00:00+00:00,138,12,365,19
2022-10-24 00:00:00+00:00,476,159,278,31
2022-10-25 00:00:00+00:00,399,21,194,31
