url_path,views_total,views_unique
/saltyorg/Sandbox/tree/master/roles,81,17
/saltyorg/Sandbox,65,32
/saltyorg/Sandbox/blob/master/roles/immich/defaults/main.yml,22,4
/saltyorg/Sandbox/issues,17,7
/saltyorg/Sandbox/tree/master/roles/immich/defaults,16,4
/saltyorg/Sandbox/tree/master/roles/immich,14,4
/saltyorg/Sandbox/commits/master,12,3
/saltyorg/Sandbox/pulls,12,3
/saltyorg/Sandbox/tree/master/roles/mqtt,12,1
/saltyorg/Sandbox/blob/bac4a106728dbcdab467ffb5075a676bf79e8ee5/roles/nextcloud/defaults/main.yml,11,1
